hgnc_symbol,refseq_mrna
IL17RC,NM_153460
IL17RC,NM_001203265
IL17RC,NM_001203263
IL17RC,NM_001367278
GOSR2,NM_001330252
GOSR2,NM_001353115
GOSR2,NM_054022
GOSR2,NM_001321133
GOSR2,NM_001012511
GOSR2,NM_001353114
GOSR2,NM_001363851
GOSR2,NM_001353116
GOSR2,NM_004287
GOSR2,NM_001321134
LRP2BP,NM_001385602
LRP2BP,NM_001385601
LRP2BP,NM_018409
LRP2BP,NM_001385606
LRP2BP,NM_001377442
LRP2BP,NM_001377443
LRP2BP,NM_001385605
LRP2BP,NM_001377441
LRP2BP,NM_001377440
LRP2BP,NM_001385604
LRP2BP,NM_001385603
SPAG9,NM_001130528
SPAG9,NM_001251971
SPAG9,NM_001130527
SPAG9,NM_003971
